acq_year,groupname,count
2019,anaro,11
2001,andirßmarau,7
2002,andirßmarau,187
2003,andirßmarau,114
2004,andirßmarau,128
2005,andirßmarau,189
2006,andirßmarau,213
2007,andirßmarau,159
2008,andirßmarau,90
2009,andirßmarau,232
2010,andirßmarau,215
2011,andirßmarau,158
2012,andirßmarau,193
2013,andirßmarau,150
2014,andirßmarau,248
2015,andirßmarau,333
2016,andirßmarau,135
2017,andirßmarau,223
2018,andirßmarau,155
2019,andirßmarau,129
2002,aningal,1
2003,aningal,4
2004,aningal,2
2005,aningal,2
2007,aningal,2
2014,aningal,1
2015,aningal,4
2016,aningal,4
2017,aningal,3
2018,aningal,1
2019,aningal,5
2002,anta,1
2007,anta,2
2009,anta,4
2012,anta,2
2013,anta,1
2014,anta,2
2016,anta,1
2018,anta,2
2019,anta,1
2002,apiakakayabi,18
2003,apiakakayabi,47
2004,apiakakayabi,43
2005,apiakakayabi,37
2006,apiakakayabi,12
2007,apiakakayabi,46
2008,apiakakayabi,24
2009,apiakakayabi,7
2010,apiakakayabi,108
2011,apiakakayabi,12
2012,apiakakayabi,36
2013,apiakakayabi,205
2014,apiakakayabi,9
2015,apiakakayabi,22
2016,apiakakayabi,28
2017,apiakakayabi,122
2018,apiakakayabi,10
2019,apiakakayabi,37
2002,apiakß do pontal e isolados,13
2003,apiakß do pontal e isolados,30
2004,apiakß do pontal e isolados,75
2005,apiakß do pontal e isolados,59
2006,apiakß do pontal e isolados,68
2007,apiakß do pontal e isolados,51
2008,apiakß do pontal e isolados,6
2009,apiakß do pontal e isolados,8
2010,apiakß do pontal e isolados,33
2011,apiakß do pontal e isolados,9
2012,apiakß do pontal e isolados,42
2014,apiakß do pontal e isolados,29
2015,apiakß do pontal e isolados,21
2016,apiakß do pontal e isolados,20
2017,apiakß do pontal e isolados,12
2018,apiakß do pontal e isolados,8
2019,apiakß do pontal e isolados,3
2000,apinayt,1
2001,apinayt,107
2002,apinayt,155
2003,apinayt,200
2004,apinayt,221
2005,apinayt,288
2006,apinayt,172
2007,apinayt,319
2008,apinayt,164
2009,apinayt,169
2010,apinayt,354
2011,apinayt,233
2012,apinayt,231
2013,apinayt,157
2014,apinayt,257
2015,apinayt,410
2016,apinayt,129
2017,apinayt,389
2018,apinayt,59
2019,apinayt,281
2001,apipica,4
2002,apipica,12
2003,apipica,2
2004,apipica,3
2005,apipica,2
2006,apipica,2
2007,apipica,3
2010,apipica,1
2011,apipica,1
2012,apipica,1
2014,apipica,1
2015,apipica,3
2016,apipica,2
2000,apucarana,3
2002,apucarana,5
2003,apucarana,9
2004,apucarana,4
2005,apucarana,2
2006,apucarana,13
2007,apucarana,5
2008,apucarana,10
2009,apucarana,1
2010,apucarana,10
2011,apucarana,3
2012,apucarana,4
2013,apucarana,1
2014,apucarana,4
2015,apucarana,1
2016,apucarana,4
2017,apucarana,7
2018,apucarana,3
2019,apucarana,5
2003,apurinp do igarapt mucuim,1
2010,apurinp do igarapt mucuim,2
2006,apurinp do igarapt spo jopo,1
