acq_year,groupname,count
2001,cajueiro,1
2002,cajueiro,7
2003,cajueiro,1
2006,cajueiro,1
2007,cajueiro,1
2009,cajueiro,2
2010,cajueiro,1
2011,cajueiro,1
2013,cajueiro,1
2015,cajueiro,2
2016,cajueiro,1
2017,cajueiro,1
2018,cajueiro,1
2002,cajuhiri atravessado,1
2003,cajuhiri atravessado,5
2004,cajuhiri atravessado,1
2005,cajuhiri atravessado,1
2006,cajuhiri atravessado,4
2007,cajuhiri atravessado,3
2008,cajuhiri atravessado,4
2009,cajuhiri atravessado,4
2010,cajuhiri atravessado,4
2012,cajuhiri atravessado,1
2014,cajuhiri atravessado,2
2015,cajuhiri atravessado,3
2016,cajuhiri atravessado,6
2002,camadeni,1
2003,camadeni,2
2005,camadeni,3
2006,camadeni,1
2007,camadeni,2
2009,camadeni,1
2010,camadeni,2
2015,camadeni,1
2016,camadeni,4
2002,camicua,4
2003,camicua,3
2004,camicua,3
2005,camicua,3
2006,camicua,7
2007,camicua,8
2008,camicua,6
2009,camicua,1
2010,camicua,3
2011,camicua,8
2012,camicua,4
2013,camicua,8
2014,camicua,3
2015,camicua,3
2016,camicua,8
2017,camicua,6
2018,camicua,7
2019,camicua,6
2001,campinaskatukina,1
2002,campinaskatukina,4
2003,campinaskatukina,7
2004,campinaskatukina,4
2005,campinaskatukina,8
2006,campinaskatukina,3
2007,campinaskatukina,5
2008,campinaskatukina,2
2009,campinaskatukina,5
2010,campinaskatukina,3
2011,campinaskatukina,4
2012,campinaskatukina,3
2013,campinaskatukina,9
2014,campinaskatukina,8
2015,campinaskatukina,3
2016,campinaskatukina,6
2017,campinaskatukina,3
2018,campinaskatukina,4
2019,campinaskatukina,3
2000,cana bravaguajajara,1
2001,cana bravaguajajara,23
2002,cana bravaguajajara,137
2003,cana bravaguajajara,203
2004,cana bravaguajajara,119
2005,cana bravaguajajara,299
2006,cana bravaguajajara,61
2007,cana bravaguajajara,743
2008,cana bravaguajajara,124
2009,cana bravaguajajara,45
2010,cana bravaguajajara,666
2011,cana bravaguajajara,77
2012,cana bravaguajajara,869
2013,cana bravaguajajara,241
2014,cana bravaguajajara,615
2015,cana bravaguajajara,811
2016,cana bravaguajajara,738
2017,cana bravaguajajara,1081
2018,cana bravaguajajara,543
2019,cana bravaguajajara,619
2002,canauanim,1
2003,canauanim,5
2004,canauanim,8
2006,canauanim,3
2007,canauanim,8
2008,canauanim,5
2009,canauanim,1
2010,canauanim,4
2011,canauanim,1
2012,canauanim,1
2014,canauanim,2
2015,canauanim,8
2016,canauanim,10
2017,canauanim,1
2018,canauanim,3
2019,canauanim,9
2002,canelinha,1
2003,canelinha,11
2004,canelinha,3
2005,canelinha,2
2006,canelinha,8
2007,canelinha,11
2008,canelinha,2
2009,canelinha,2
2010,canelinha,7
2011,canelinha,7
2012,canelinha,3
2013,canelinha,3
2014,canelinha,4
2016,canelinha,2
2017,canelinha,1
2019,canelinha,2
2001,capotojarina,80
2002,capotojarina,81
2003,capotojarina,92
2004,capotojarina,104
2005,capotojarina,137
2006,capotojarina,145
2007,capotojarina,353
2008,capotojarina,102
2009,capotojarina,101
2010,capotojarina,242
2011,capotojarina,147
2012,capotojarina,120
2013,capotojarina,91
2014,capotojarina,112
2015,capotojarina,81
2016,capotojarina,155
2017,capotojarina,268
2018,capotojarina,70
2019,capotojarina,213
2001,caramuruparaguassu,4
2002,caramuruparaguassu,7
2003,caramuruparaguassu,4
2004,caramuruparaguassu,15
2005,caramuruparaguassu,4
2006,caramuruparaguassu,2
2007,caramuruparaguassu,5
2008,caramuruparaguassu,8
2009,caramuruparaguassu,3
2010,caramuruparaguassu,6
2011,caramuruparaguassu,2
2012,caramuruparaguassu,15
2013,caramuruparaguassu,1
2014,caramuruparaguassu,3
2015,caramuruparaguassu,28
2016,caramuruparaguassu,7
2018,caramuruparaguassu,9
2019,caramuruparaguassu,15
2006,carreteiro,1
2017,carreteiro,2
2019,carreteiro,1
2002,carretpo i,4
2004,carretpo i,1
2007,carretpo i,8
2009,carretpo i,1
2010,carretpo i,10
2012,carretpo i,3
2013,carretpo i,1
2015,carretpo i,2
2016,carretpo i,1
2017,carretpo i,4
2019,carretpo i,3
2000,caru,6
2001,caru,13
2002,caru,63
2003,caru,62
2004,caru,37
2005,caru,32
2006,caru,26
2007,caru,45
2008,caru,29
2009,caru,31
2010,caru,54
2011,caru,25
2012,caru,33
2013,caru,36
2014,caru,12
2015,caru,172
2016,caru,22
2017,caru,11
2018,caru,9
2019,caru,1
2002,catiparimamoria,2
2003,catiparimamoria,2
2005,catiparimamoria,3
2007,catiparimamoria,2
2008,catiparimamoria,1
2010,catiparimamoria,5
2012,catiparimamoria,5
2014,catiparimamoria,2
2015,catiparimamoria,3
2016,catiparimamoria,1
2017,catiparimamoria,3
2018,catiparimamoria,4
2005,caxix,2
2007,caxix,1
2008,caxix,2
2011,caxix,2
2012,caxix,6
2016,caxix,1
2018,caxix,1
2001,cerrito,1
2003,cerrito,1
2006,cerrito,2
2007,cerrito,1
2010,cerrito,3
2011,cerrito,2
2014,cerrito,1
2016,cerrito,2
2017,cerrito,1
2019,cerrito,1
2001,chpo preto,18
2002,chpo preto,18
2003,chpo preto,11
2004,chpo preto,28
2005,chpo preto,11
2006,chpo preto,33
2007,chpo preto,55
2008,chpo preto,51
2009,chpo preto,7
2010,chpo preto,80
2011,chpo preto,23
2012,chpo preto,22
2013,chpo preto,36
2014,chpo preto,24
2015,chpo preto,41
2016,chpo preto,13
2017,chpo preto,36
2018,chpo preto,14
2019,chpo preto,32
2001,coatalaranjal,4
2002,coatalaranjal,19
2003,coatalaranjal,16
2004,coatalaranjal,15
2005,coatalaranjal,25
2006,coatalaranjal,31
2007,coatalaranjal,22
2008,coatalaranjal,6
2009,coatalaranjal,40
2010,coatalaranjal,24
2011,coatalaranjal,9
2012,coatalaranjal,13
2013,coatalaranjal,12
2014,coatalaranjal,34
2015,coatalaranjal,60
2016,coatalaranjal,19
2017,coatalaranjal,9
2018,coatalaranjal,24
2019,coatalaranjal,11
2004,comboios,1
2006,comboios,1
2007,comboios,1
2011,comboios,2
2014,comboios,3
2015,comboios,1
2018,comboios,1
2002,coroa vermelha,20
2003,coroa vermelha,1
2004,coroa vermelha,3
2005,coroa vermelha,2
2006,coroa vermelha,5
2007,coroa vermelha,3
2008,coroa vermelha,6
2009,coroa vermelha,2
2012,coroa vermelha,1
2015,coroa vermelha,1
2002,coroa vermelha gleba c,6
2007,coroa vermelha gleba c,3
2012,coroa vermelha gleba c,1
2013,coroa vermelha gleba c,1
2019,coroa vermelha gleba c,1
2002,cuia,4
2003,cuia,1
2004,cuia,1
2005,cuia,3
2007,cuia,1
2008,cuia,1
2009,cuia,1
2011,cuia,2
2012,cuia,1
2013,cuia,1
2014,cuia,4
2015,cuia,2
2016,cuia,1
2018,cuia,1
2019,cuia,1
2013,cuiucuiu,1
2015,cuiucuiu,2
2016,cuiucuiu,2
2002,cunhpsapucaia,6
2003,cunhpsapucaia,4
2004,cunhpsapucaia,1
2005,cunhpsapucaia,7
2006,cunhpsapucaia,6
2007,cunhpsapucaia,1
2008,cunhpsapucaia,4
2009,cunhpsapucaia,1
2010,cunhpsapucaia,4
2011,cunhpsapucaia,2
2012,cunhpsapucaia,7
2013,cunhpsapucaia,3
2014,cunhpsapucaia,5
2015,cunhpsapucaia,6
2016,cunhpsapucaia,6
2018,cunhpsapucaia,15
2019,cunhpsapucaia,6
2003,cut cut marabitanas,11
2004,cut cut marabitanas,7
2007,cut cut marabitanas,4
2008,cut cut marabitanas,5
2009,cut cut marabitanas,1
2010,cut cut marabitanas,3
2011,cut cut marabitanas,7
2012,cut cut marabitanas,2
2013,cut cut marabitanas,4
2014,cut cut marabitanas,1
2015,cut cut marabitanas,3
2016,cut cut marabitanas,1
2017,cut cut marabitanas,2
2018,cut cut marabitanas,8
2019,cut cut marabitanas,6
2003,deni,12
2004,deni,11
2005,deni,20
2006,deni,10
2007,deni,17
2008,deni,8
2009,deni,11
2010,deni,17
2011,deni,5
2012,deni,9
2013,deni,10
2014,deni,26
2015,deni,17
2016,deni,13
2017,deni,14
2018,deni,12
2019,deni,32
2002,diahui,3
2003,diahui,6
2004,diahui,10
2005,diahui,1
2006,diahui,10
2007,diahui,5
2008,diahui,5
2010,diahui,5
2012,diahui,1
2014,diahui,5
2015,diahui,2
2016,diahui,1
2018,diahui,2
2019,diahui,3
2001,dourados,1
2005,dourados,1
2006,dourados,1
2008,dourados,3
2009,dourados,1
2010,dourados,1
2011,dourados,4
2013,dourados,1
2014,dourados,2
2015,dourados,2
2016,dourados,1
2017,dourados,1
2019,dourados,1
2001,enawenonawo,2
2002,enawenonawo,10
2003,enawenonawo,21
2004,enawenonawo,33
2005,enawenonawo,86
2006,enawenonawo,19
2007,enawenonawo,38
2008,enawenonawo,70
2009,enawenonawo,33
2010,enawenonawo,163
2011,enawenonawo,110
2012,enawenonawo,125
2013,enawenonawo,89
2014,enawenonawo,39
2015,enawenonawo,27
2016,enawenonawo,49
2017,enawenonawo,87
2018,enawenonawo,17
2019,enawenonawo,82
2002,entre serras,2
2003,entre serras,1
2004,entre serras,2
2006,entre serras,2
2007,entre serras,2
2012,entre serras,3
2013,entre serras,2
2015,entre serras,2
2016,entre serras,2
2001,erikpatsß,2
2002,erikpatsß,8
2003,erikpatsß,17
2004,erikpatsß,9
2005,erikpatsß,13
2006,erikpatsß,7
2007,erikpatsß,15
2008,erikpatsß,8
2009,erikpatsß,6
2010,erikpatsß,8
2011,erikpatsß,1
2012,erikpatsß,12
2013,erikpatsß,4
2014,erikpatsß,5
2015,erikpatsß,5
2016,erikpatsß,2
2017,erikpatsß,4
2018,erikpatsß,7
2019,erikpatsß,2
2002,escondido,2
2003,escondido,3
2004,escondido,4
2005,escondido,5
2006,escondido,6
2007,escondido,8
2009,escondido,2
2010,escondido,2
2013,escondido,1
2015,escondido,1
2017,escondido,2
2019,escondido,2
2015,espfrito santo,2
2016,espfrito santo,4
2017,espfrito santo,9
2018,espfrito santo,3
2019,espfrito santo,1
2004,estatpo parecis,2
2014,estatpo parecis,1
2016,estatpo parecis,2
2017,estatpo parecis,1
2003,estivadinho,5
2004,estivadinho,1
2005,estivadinho,8
2006,estivadinho,1
2007,estivadinho,4
2008,estivadinho,5
2010,estivadinho,6
2012,estivadinho,7
2013,estivadinho,1
2014,estivadinho,3
2016,estivadinho,1
2017,estivadinho,5
2019,estivadinho,4
2004,estrada do mar,1
2002,estrela da paz,1
2003,estrela da paz,2
2005,estrela da paz,1
2009,estrela da paz,1
2014,estrela da paz,3
2015,estrela da paz,1
2016,estrela da paz,6
2017,estrela da paz,6
2018,estrela da paz,4
2019,estrela da paz,3
2001,faxinal,1
2002,faxinal,3
2003,faxinal,3
2004,faxinal,8
2005,faxinal,3
2006,faxinal,1
2007,faxinal,6
2008,faxinal,2
2009,faxinal,1
2010,faxinal,7
2011,faxinal,1
2012,faxinal,1
2013,faxinal,4
2014,faxinal,6
2017,faxinal,3
2019,faxinal,1
2006,fazenda canto,1
2003,fazenda guarani,13
2007,fazenda guarani,6
2013,fazenda guarani,2
2017,fazenda guarani,1
2019,fazenda guarani,7
2009,fazenda remanso,1
2014,fazenda remanso,1
2002,figueiras,4
2003,figueiras,6
2004,figueiras,1
2005,figueiras,5
2006,figueiras,12
2007,figueiras,10
2008,figueiras,5
2009,figueiras,3
2010,figueiras,27
2011,figueiras,6
2012,figueiras,3
2014,figueiras,5
2015,figueiras,4
2016,figueiras,13
2018,figueiras,1
2019,figueiras,3
2004,fortaleza do castanho,2
2005,fortaleza do castanho,2
2006,fortaleza do castanho,1
2007,fortaleza do castanho,3
2009,fortaleza do castanho,1
2012,fortaleza do castanho,3
2015,fortaleza do castanho,1
2016,fortaleza do castanho,1
2006,fortaleza do patauß,1
2007,fortaleza do patauß,1
2013,fortaleza do patauß,3
2002,fulni,1
2003,fulni,2
2004,fulni,1
2006,fulni,1
2007,fulni,1
2008,fulni,4
2011,fulni,4
2013,fulni,1
2016,fulni,4
2001,funil,23
2002,funil,41
2003,funil,31
2004,funil,44
2005,funil,33
2006,funil,28
2007,funil,55
2008,funil,37
2009,funil,28
2010,funil,52
2011,funil,31
2012,funil,42
2013,funil,37
2014,funil,34
2015,funil,29
2016,funil,53
2017,funil,44
2018,funil,11
2019,funil,62
2001,galibi,1
2002,galibi,2
2004,galibi,1
2005,galibi,2
2006,galibi,2
2007,galibi,4
2008,galibi,2
2010,galibi,2
2012,galibi,4
2013,galibi,2
2014,galibi,2
2015,galibi,4
2016,galibi,1
2017,galibi,6
2003,gavipo,1
2006,gavipo,2
2007,gavipo,2
2008,gavipo,2
2009,gavipo,2
2010,gavipo,4
2011,gavipo,3
2012,gavipo,3
2013,gavipo,1
2014,gavipo,1
2015,gavipo,7
2016,gavipo,4
2017,gavipo,2
2018,gavipo,1
2019,gavipo,2
2002,geralda toco preto,14
2003,geralda toco preto,14
2004,geralda toco preto,9
2005,geralda toco preto,23
2006,geralda toco preto,1
2007,geralda toco preto,24
2008,geralda toco preto,5
2009,geralda toco preto,3
2010,geralda toco preto,13
2011,geralda toco preto,2
2012,geralda toco preto,32
2013,geralda toco preto,1
2014,geralda toco preto,1
2015,geralda toco preto,36
2016,geralda toco preto,7
2018,geralda toco preto,5
2001,governador,11
2002,governador,44
2003,governador,29
2004,governador,36
2005,governador,59
2006,governador,34
2007,governador,170
2008,governador,35
2009,governador,31
2010,governador,120
2011,governador,32
2012,governador,250
2013,governador,30
2014,governador,83
2015,governador,182
2016,governador,87
2017,governador,286
2018,governador,12
2019,governador,38
2005,guaimbt,3
2006,guaimbt,3
2007,guaimbt,4
2010,guaimbt,1
2013,guaimbt,4
2015,guaimbt,1
2016,guaimbt,1
2018,guaimbt,2
2016,guajahp,1
2002,guanabara,1
2003,guanabara,1
2004,guanabara,1
2005,guanabara,4
2006,guanabara,7
2007,guanabara,2
2010,guanabara,1
2014,guanabara,2
2015,guanabara,3
2017,guanabara,5
2018,guanabara,2
2019,guanabara,4
2002,guarani de aratai,1
2003,guarani de aratai,1
2004,guarani de aratai,3
2006,guarani de aratai,2
2007,guarani de aratai,1
2015,guarani de aratai,1
2019,guarani de aratai,1
2003,guarani votouro,1
2005,guarani votouro,1
2009,guarani votouro,1
2013,guarani votouro,2
2016,guarani votouro,1
2002,guarita,12
2003,guarita,21
2004,guarita,18
2005,guarita,9
2006,guarita,3
2007,guarita,10
2008,guarita,3
2009,guarita,21
2010,guarita,16
2011,guarita,24
2012,guarita,7
2013,guarita,5
2014,guarita,5
2015,guarita,4
2016,guarita,15
2017,guarita,13
2018,guarita,3
2019,guarita,14
2004,guasuti,3
2005,guasuti,1
2006,guasuti,1
2007,guasuti,3
2009,guasuti,2
2011,guasuti,2
2016,guasuti,2
2002,guat,57
2006,guat,1
2010,guat,1
2012,guat,1
2018,guat,1
2004,guyrarokß,1
2007,guyrarokß,1
2008,guyrarokß,3
2009,guyrarokß,1
2010,guyrarokß,29
2011,guyrarokß,5
2012,guyrarokß,5
2013,guyrarokß,1
2014,guyrarokß,2
2016,guyrarokß,1
2018,guyrarokß,1
2019,guyrarokß,2
2003,hi merimp,2
2004,hi merimp,1
2005,hi merimp,1
2006,hi merimp,1
2011,hi merimp,1
2016,hi merimp,1
2003,hpm yexux,1
2007,hpm yexux,4
2011,hpm yexux,2
2014,hpm yexux,6
2017,hpm yexux,1
2001,ibirama,5
2003,ibirama,4
2004,ibirama,3
2005,ibirama,4
2006,ibirama,4
2007,ibirama,1
2008,ibirama,1
2009,ibirama,3
2010,ibirama,2
2011,ibirama,6
2012,ibirama,2
2013,ibirama,3
2014,ibirama,4
2016,ibirama,3
2017,ibirama,5
2018,ibirama,4
2019,ibirama,1
2000,ibiramala klpn,2
2001,ibiramala klpn,2
2003,ibiramala klpn,8
2004,ibiramala klpn,11
2005,ibiramala klpn,12
2006,ibiramala klpn,15
2007,ibiramala klpn,9
2008,ibiramala klpn,5
2009,ibiramala klpn,4
2010,ibiramala klpn,2
2011,ibiramala klpn,3
2012,ibiramala klpn,2
2013,ibiramala klpn,3
2014,ibiramala klpn,6
2015,ibiramala klpn,5
2016,ibiramala klpn,5
2017,ibiramala klpn,18
2018,ibiramala klpn,3
2019,ibiramala klpn,2
2001,ibotirama,2
2002,ibotirama,2
2015,ibotirama,2
2019,ibotirama,1
2002,icatu,1
2008,icatu,1
2010,icatu,2
2011,icatu,2
2005,igarapt capana,1
2006,igarapt capana,1
2007,igarapt capana,1
2008,igarapt capana,1
2010,igarapt capana,3
2012,igarapt capana,3
2013,igarapt capana,1
2015,igarapt capana,1
2018,igarapt capana,2
2019,igarapt capana,1
2002,igarapt do caucho,4
2003,igarapt do caucho,6
2004,igarapt do caucho,1
2005,igarapt do caucho,14
2006,igarapt do caucho,12
2007,igarapt do caucho,1
2008,igarapt do caucho,2
2009,igarapt do caucho,4
2010,igarapt do caucho,6
2011,igarapt do caucho,3
2012,igarapt do caucho,2
2013,igarapt do caucho,3
2014,igarapt do caucho,5
2015,igarapt do caucho,6
2016,igarapt do caucho,6
2017,igarapt do caucho,7
2018,igarapt do caucho,1
2019,igarapt do caucho,4
2002,igarapt grande,1
2003,igarapt grande,4
2005,igarapt grande,1
2006,igarapt grande,1
2009,igarapt grande,3
2010,igarapt grande,2
2011,igarapt grande,1
2012,igarapt grande,2
2013,igarapt grande,5
2015,igarapt grande,1
2017,igarapt grande,1
2018,igarapt grande,3
2001,igarapt lage,4
2002,igarapt lage,26
2003,igarapt lage,26
2004,igarapt lage,37
2005,igarapt lage,35
2006,igarapt lage,31
2007,igarapt lage,29
2008,igarapt lage,28
2009,igarapt lage,16
2010,igarapt lage,19
2011,igarapt lage,18
2012,igarapt lage,23
2013,igarapt lage,11
2014,igarapt lage,8
2015,igarapt lage,7
2016,igarapt lage,8
2017,igarapt lage,18
2018,igarapt lage,14
2019,igarapt lage,23
2001,igarapt lourdes,1
2002,igarapt lourdes,36
2003,igarapt lourdes,36
2004,igarapt lourdes,30
2005,igarapt lourdes,43
2006,igarapt lourdes,28
2007,igarapt lourdes,46
2008,igarapt lourdes,24
2009,igarapt lourdes,8
2010,igarapt lourdes,60
2011,igarapt lourdes,19
2012,igarapt lourdes,48
2013,igarapt lourdes,11
2014,igarapt lourdes,17
2015,igarapt lourdes,16
2016,igarapt lourdes,22
2017,igarapt lourdes,35
2018,igarapt lourdes,42
2019,igarapt lourdes,51
2002,igarapt ribeirpo,17
2003,igarapt ribeirpo,11
2004,igarapt ribeirpo,18
2005,igarapt ribeirpo,18
2006,igarapt ribeirpo,17
2007,igarapt ribeirpo,17
2008,igarapt ribeirpo,6
2009,igarapt ribeirpo,6
2010,igarapt ribeirpo,12
2011,igarapt ribeirpo,6
2012,igarapt ribeirpo,2
2013,igarapt ribeirpo,6
2014,igarapt ribeirpo,4
2015,igarapt ribeirpo,9
2016,igarapt ribeirpo,15
2017,igarapt ribeirpo,12
2018,igarapt ribeirpo,9
2019,igarapt ribeirpo,13
2002,iguatemipegua i,1
2003,iguatemipegua i,2
2004,iguatemipegua i,4
2005,iguatemipegua i,1
2006,iguatemipegua i,1
2007,iguatemipegua i,3
2008,iguatemipegua i,1
2009,iguatemipegua i,1
2010,iguatemipegua i,1
2011,iguatemipegua i,3
2012,iguatemipegua i,2
2013,iguatemipegua i,1
2015,iguatemipegua i,8
2016,iguatemipegua i,4
2017,iguatemipegua i,1
2018,iguatemipegua i,3
2019,iguatemipegua i,3
2002,ilhas da taperaspo ftlixporto,1
2007,ilhas da taperaspo ftlixporto,2
2008,ilhas da taperaspo ftlixporto,4
2009,ilhas da taperaspo ftlixporto,1
2010,ilhas da taperaspo ftlixporto,2
2012,ilhas da taperaspo ftlixporto,2
2013,ilhas da taperaspo ftlixporto,1
2016,ilhas da taperaspo ftlixporto,2
2017,ilhas da taperaspo ftlixporto,1
2018,ilhas da taperaspo ftlixporto,1
2004,imbiriba,1
2016,imbiriba,1
2018,imbiriba,1
2002,inauiniteuini,3
2003,inauiniteuini,6
2004,inauiniteuini,3
2005,inauiniteuini,3
2006,inauiniteuini,5
2008,inauiniteuini,3
2009,inauiniteuini,5
2010,inauiniteuini,1
2011,inauiniteuini,4
2012,inauiniteuini,3
2013,inauiniteuini,8
2014,inauiniteuini,1
2015,inauiniteuini,3
2016,inauiniteuini,4
2017,inauiniteuini,6
2018,inauiniteuini,5
2019,inauiniteuini,4
2001,inawebohona,334
2002,inawebohona,190
2003,inawebohona,589
2004,inawebohona,350
2005,inawebohona,716
2006,inawebohona,171
2007,inawebohona,1525
2008,inawebohona,271
2009,inawebohona,61
2010,inawebohona,2015
2011,inawebohona,92
2012,inawebohona,1744
2013,inawebohona,342
2014,inawebohona,868
2015,inawebohona,808
2016,inawebohona,1336
2017,inawebohona,1454
2018,inawebohona,292
2019,inawebohona,2173
2003,inhacorß,6
2004,inhacorß,1
2005,inhacorß,2
2006,inhacorß,2
2007,inhacorß,3
2008,inhacorß,2
2009,inhacorß,4
2010,inhacorß,3
2011,inhacorß,6
2012,inhacorß,2
2013,inhacorß,3
2014,inhacorß,3
2015,inhacorß,2
2016,inhacorß,3
2017,inhacorß,3
2018,inhacorß,2
2019,inhacorß,2
2002,ipixuna,4
2004,ipixuna,3
2005,ipixuna,7
2007,ipixuna,1
2008,ipixuna,2
2010,ipixuna,3
2011,ipixuna,4
2012,ipixuna,5
2013,ipixuna,2
2014,ipixuna,6
2015,ipixuna,4
2016,ipixuna,15
2017,ipixuna,4
2018,ipixuna,3
2019,ipixuna,11
2001,irantxe,21
2002,irantxe,5
2003,irantxe,30
2004,irantxe,6
2005,irantxe,5
2006,irantxe,5
2007,irantxe,14
2008,irantxe,6
2010,irantxe,3
2011,irantxe,1
2013,irantxe,3
2014,irantxe,1
2015,irantxe,1
2016,irantxe,1
2018,irantxe,1
2002,itixi mitari,4
2005,itixi mitari,3
2006,itixi mitari,1
2008,itixi mitari,1
2009,itixi mitari,2
2010,itixi mitari,4
2012,itixi mitari,1
2015,itixi mitari,2
2016,itixi mitari,3
2017,itixi mitari,1
2004,itunaitata restritpo de uso,1
2012,itunaitata restritpo de uso,11
2014,itunaitata restritpo de uso,3
2015,itunaitata restritpo de uso,6
2016,itunaitata restritpo de uso,7
2017,itunaitata restritpo de uso,80
2018,itunaitata restritpo de uso,203
2019,itunaitata restritpo de uso,54
2000,ivai,2
2001,ivai,1
2002,ivai,6
2003,ivai,10
2004,ivai,3
2005,ivai,6
2006,ivai,6
2007,ivai,14
2008,ivai,13
2009,ivai,6
2010,ivai,11
2011,ivai,17
2012,ivai,1
2013,ivai,6
2016,ivai,20
2017,ivai,8
2018,ivai,15
2019,ivai,6
2001,jabuti,2
2002,jabuti,11
2003,jabuti,14
2004,jabuti,10
2005,jabuti,10
2006,jabuti,7
2007,jabuti,10
2008,jabuti,4
2009,jabuti,4
2010,jabuti,7
2011,jabuti,8
2012,jabuti,6
2013,jabuti,16
2014,jabuti,7
2015,jabuti,4
2016,jabuti,5
2017,jabuti,5
2018,jabuti,9
2019,jabuti,3
2000,jacamim,3
2001,jacamim,3
2002,jacamim,13
2003,jacamim,34
2004,jacamim,20
2005,jacamim,8
2006,jacamim,4
2007,jacamim,21
2008,jacamim,9
2009,jacamim,18
2010,jacamim,8
2011,jacamim,7
2012,jacamim,11
2013,jacamim,7
2014,jacamim,13
2015,jacamim,22
2016,jacamim,26
2017,jacamim,17
2018,jacamim,26
2019,jacamim,26
2002,jacarebakatauixi restritpo uso,9
2003,jacarebakatauixi restritpo uso,102
2004,jacarebakatauixi restritpo uso,31
2005,jacarebakatauixi restritpo uso,164
2006,jacarebakatauixi restritpo uso,142
2007,jacarebakatauixi restritpo uso,78
2008,jacarebakatauixi restritpo uso,63
2009,jacarebakatauixi restritpo uso,8
2010,jacarebakatauixi restritpo uso,180
2011,jacarebakatauixi restritpo uso,6
2012,jacarebakatauixi restritpo uso,25
2013,jacarebakatauixi restritpo uso,20
2014,jacarebakatauixi restritpo uso,8
2015,jacarebakatauixi restritpo uso,3
2016,jacarebakatauixi restritpo uso,12
2017,jacarebakatauixi restritpo uso,2
2018,jacarebakatauixi restritpo uso,18
2019,jacarebakatauixi restritpo uso,19
2002,jacart de spo domingos,2
2003,jacart de spo domingos,3
2004,jacart de spo domingos,1
2005,jacart de spo domingos,3
2006,jacart de spo domingos,2
2007,jacart de spo domingos,2
2009,jacart de spo domingos,5
2011,jacart de spo domingos,7
2012,jacart de spo domingos,4
2013,jacart de spo domingos,1
2014,jacart de spo domingos,1
2015,jacart de spo domingos,6
2016,jacart de spo domingos,4
2017,jacart de spo domingos,3
2018,jacart de spo domingos,7
2019,jacart de spo domingos,1
2001,jaguapirt,1
2003,jaguapirt,4
2004,jaguapirt,5
2005,jaguapirt,11
2006,jaguapirt,4
2007,jaguapirt,6
2008,jaguapirt,10
2010,jaguapirt,3
2011,jaguapirt,1
2012,jaguapirt,6
2013,jaguapirt,4
2014,jaguapirt,1
2015,jaguapirt,1
2016,jaguapirt,4
2017,jaguapirt,4
2018,jaguapirt,2
2019,jaguapirt,2
2002,jaguari,3
2007,jaguari,1
2012,jaguari,1
2014,jaguari,4
2019,jaguari,1
2002,jaminauaenvira,1
2005,jaminauaenvira,3
2006,jaminauaenvira,1
2007,jaminauaenvira,1
2008,jaminauaenvira,1
2010,jaminauaenvira,4
2012,jaminauaenvira,8
2013,jaminauaenvira,2
2014,jaminauaenvira,2
2016,jaminauaenvira,5
2017,jaminauaenvira,1
2018,jaminauaenvira,3
2019,jaminauaenvira,2
2005,jaminawa arara do rio bagt,2
2007,jaminawa arara do rio bagt,1
2008,jaminawa arara do rio bagt,2
2009,jaminawa arara do rio bagt,1
2010,jaminawa arara do rio bagt,1
2012,jaminawa arara do rio bagt,6
2013,jaminawa arara do rio bagt,2
2016,jaminawa arara do rio bagt,2
2017,jaminawa arara do rio bagt,1
2019,jaminawa arara do rio bagt,1
2004,jaminawa do igarapt preto,1
2005,jaminawa do igarapt preto,2
2006,jaminawa do igarapt preto,3
2007,jaminawa do igarapt preto,2
2008,jaminawa do igarapt preto,4
2009,jaminawa do igarapt preto,1
2010,jaminawa do igarapt preto,1
2012,jaminawa do igarapt preto,3
2013,jaminawa do igarapt preto,3
2015,jaminawa do igarapt preto,2
2017,jaminawa do igarapt preto,3
2018,jaminawa do igarapt preto,3
2019,jaminawa do igarapt preto,1
2002,japuira,8
2003,japuira,22
2004,japuira,1
2005,japuira,15
2007,japuira,1
2008,japuira,7
2009,japuira,1
2011,japuira,3
2012,japuira,2
2013,japuira,2
2014,japuira,1
2016,japuira,1
2017,japuira,7
2018,japuira,2
2019,japuira,14
2016,jaquiri,1
2014,jaraguß,2
2002,jarara,1
2004,jarara,1
2007,jarara,1
2010,jarara,2
2013,jarara,1
2014,jarara,1
2018,jarara,1
2002,jarawarajamamadikanamati,7
2003,jarawarajamamadikanamati,9
2004,jarawarajamamadikanamati,3
2005,jarawarajamamadikanamati,7
2006,jarawarajamamadikanamati,11
2007,jarawarajamamadikanamati,5
2008,jarawarajamamadikanamati,2
2009,jarawarajamamadikanamati,12
2010,jarawarajamamadikanamati,18
2011,jarawarajamamadikanamati,4
2012,jarawarajamamadikanamati,4
2013,jarawarajamamadikanamati,6
2014,jarawarajamamadikanamati,14
2015,jarawarajamamadikanamati,11
2016,jarawarajamamadikanamati,2
2017,jarawarajamamadikanamati,16
2018,jarawarajamamadikanamati,16
2019,jarawarajamamadikanamati,9
2004,jarudore,2
2006,jarudore,2
2017,jarudore,1
2003,jatayvari,1
2004,jatayvari,2
2005,jatayvari,2
2007,jatayvari,3
2008,jatayvari,2
2009,jatayvari,1
2010,jatayvari,3
2011,jatayvari,3
2013,jatayvari,1
2015,jatayvari,1
