ACQ_YEAR,Name,n()
2007,Amaral/Tekoß Kuriy,4
2008,Amaral/Tekoß Kuriy,7
2010,Amaral/Tekoß Kuriy,1
2011,Amaral/Tekoß Kuriy,1
2014,Amaral/Tekoß Kuriy,2
2016,Amaral/Tekoß Kuriy,2
2017,Amaral/Tekoß Kuriy,2
2000,AnambT,9
2001,AnambT,4
2002,AnambT,1
2003,AnambT,1
2004,AnambT,3
2005,AnambT,1
2006,AnambT,3
2007,AnambT,5
2008,AnambT,7
2009,AnambT,2
2010,AnambT,1
2011,AnambT,2
2012,AnambT,18
2014,AnambT,4
2015,AnambT,3
2016,AnambT,2
2017,AnambT,4
2018,AnambT,2
2019,AnambT,4
2001,Ananßs,3
2003,Ananßs,1
2005,Ananßs,1
2013,Ananßs,1
2017,Ananßs,1
2018,Ananßs,2
2019,Ananßs,3
2000,Anaro,2
2001,Anaro,5
2002,Anaro,1
2003,Anaro,14
2004,Anaro,10
2005,Anaro,27
2006,Anaro,22
2007,Anaro,26
2008,Anaro,11
2009,Anaro,27
2010,Anaro,17
2011,Anaro,6
2012,Anaro,21
2013,Anaro,11
2014,Anaro,15
2015,Anaro,40
2016,Anaro,3
2017,Anaro,14
2018,Anaro,25
2019,Anaro,11
2001,Andirß-Marau,7
2002,Andirß-Marau,187
2003,Andirß-Marau,114
2004,Andirß-Marau,128
2005,Andirß-Marau,189
2006,Andirß-Marau,213
2007,Andirß-Marau,159
2008,Andirß-Marau,90
2009,Andirß-Marau,232
2010,Andirß-Marau,215
2011,Andirß-Marau,158
2012,Andirß-Marau,193
2013,Andirß-Marau,150
2014,Andirß-Marau,248
2015,Andirß-Marau,333
2016,Andirß-Marau,135
2017,Andirß-Marau,223
2018,Andirß-Marau,155
2019,Andirß-Marau,129
2002,Aningal,1
2003,Aningal,4
2004,Aningal,2
2005,Aningal,2
2007,Aningal,2
2014,Aningal,1
2015,Aningal,4
2016,Aningal,4
2017,Aningal,3
2018,Aningal,1
2019,Aningal,5
2002,Anta,1
2007,Anta,2
2009,Anta,4
2012,Anta,2
2013,Anta,1
2014,Anta,2
2016,Anta,1
2018,Anta,2
2019,Anta,1
2002,Apiaka/Kayabi,18
2003,Apiaka/Kayabi,47
2004,Apiaka/Kayabi,43
2005,Apiaka/Kayabi,37
2006,Apiaka/Kayabi,12
2007,Apiaka/Kayabi,46
2008,Apiaka/Kayabi,24
2009,Apiaka/Kayabi,7
2010,Apiaka/Kayabi,108
2011,Apiaka/Kayabi,12
2012,Apiaka/Kayabi,36
2013,Apiaka/Kayabi,205
2014,Apiaka/Kayabi,9
2015,Apiaka/Kayabi,22
2016,Apiaka/Kayabi,28
2017,Apiaka/Kayabi,122
2018,Apiaka/Kayabi,10
2019,Apiaka/Kayabi,37
2002,Apiakß do Pontal e Isolados,13
2003,Apiakß do Pontal e Isolados,30
2004,Apiakß do Pontal e Isolados,75
2005,Apiakß do Pontal e Isolados,59
2006,Apiakß do Pontal e Isolados,68
